,Unnamed: 0,Date,Country,Activity,Hemispheres,Months
2741,2741,14-Apr-1988,USA,Windsurfing,Hemisphere-N,apr
2742,2742,10-Apr-1988,SOUTH AFRICA,,Hemisphere-S,apr
2743,2743,31-Mar-1988,USA,Standing ,Hemisphere-N,mar
2744,2744,25-Mar-1988,USA,Body surfing,Hemisphere-N,mar
2745,2745,16-Mar-1988,SOUTH AFRICA,Surfing,Hemisphere-S,mar
2747,2747,15-Feb-1988,SOUTH AFRICA,,Hemisphere-S,feb
2748,2748,14-Feb-1988,SOUTH AFRICA,Surfing,Hemisphere-S,feb
2749,2749,13-Feb-1988,SOUTH AFRICA,Lying atop surfboard,Hemisphere-S,feb
2750,2750,12-Feb-1988,AUSTRALIA,Drift fishing,Hemisphere-S,feb
2752,2752,27-Jan-1988,SOUTH AFRICA,Surfing,Hemisphere-S,jan
2753,2753,21-Jan-1988,AUSTRALIA,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,Hemisphere-S,jan
2754,2754,14-Jan-1988,USA,Fishing,Hemisphere-N,jan
2755,2755,06-Jan-1988,SOUTH AFRICA,Attempting to lasso shark's tail,Hemisphere-S,jan
2759,2759,17-Dec-1987,USA,Surfing,Hemisphere-N,dec
2760,2760,13-Dec-1987,AUSTRALIA,,Hemisphere-S,dec
2761,2761,21-Nov-1987,USA,Surfing,Hemisphere-N,nov
2762,2762,Nov-1987,SOUTH AFRICA,,Hemisphere-S,nov
2763,2763,26-Oct-1987,USA,Surfing,Hemisphere-N,oct
2764,2764,25-Oct-1987,SOUTH AFRICA,Boogie boarding,Hemisphere-S,oct
2765,2765,11-Oct-1987,SOUTH AFRICA,Spearfishing,Hemisphere-S,oct
2767,2767,18-Sep-1987,AUSTRALIA,Scuba Diving for scallops,Hemisphere-S,sep
2768,2768,13-Sep-1987,SOUTH AFRICA,Surfing,Hemisphere-S,sep
2769,2769,20-Aug-1987,USA,Wading,Hemisphere-N,aug
2770,2770,15-Aug-1987,USA,Surfing (sitting on his board),Hemisphere-N,aug
2771,2771,21-Jul-1987,USA,Surfing,Hemisphere-N,jul
2772,2772,12-Jul-1987,USA,Body surfing,Hemisphere-N,jul
2773,2773,12-Jul-1987,USA,Wading,Hemisphere-N,jul
2774,2774,11-Jul-1987,USA,Dropping anchor,Hemisphere-N,jul
2777,2777,13-Jun-1987,USA,Fishing,Hemisphere-N,jun
2778,2778,25-May-1987,USA,,Hemisphere-N,may
2779,2779,08-May-1987,USA,Surfing,Hemisphere-N,may
2780,2780,06-May-1987,AUSTRALIA,Fishing,Hemisphere-S,may
2781,2781,19-Apr-1987,SOUTH AFRICA,Fishing,Hemisphere-S,apr
2782,2782,18-Apr-1987,USA,Swimming,Hemisphere-N,apr
2783,2783,15-Apr-1987,USA,Swimming from shore to anchored sailboat,Hemisphere-N,apr
2785,2785,30-Mar-1987,AUSTRALIA,Surfing,Hemisphere-S,mar
2786,2786,30-Mar-1987,SOUTH AFRICA,,Hemisphere-S,mar
2787,2787,28-Feb-1987,USA,Windsurfing,Hemisphere-N,feb
2789,2789,28-Jan-1987,SOUTH AFRICA,Spearfishing,Hemisphere-S,jan
2790,2790,06-Jan-1987,AUSTRALIA,Swimming,Hemisphere-S,jan
2793,2793,31-Dec-1986,SOUTH AFRICA,Spearfishing,Hemisphere-S,dec
2794,2794,22-Dec-1986,SOUTH AFRICA,Body boarding,Hemisphere-S,dec
2795,2795,11-Dec-1986,USA,Surfing,Hemisphere-N,dec
2797,2797,06-Dec-1986,USA,Free diving  & spearfishing (submerged),Hemisphere-N,dec
2798,2798,04-Dec-1986,SOUTH AFRICA,Spearfishing,Hemisphere-S,dec
2800,2800,30-Nov-1986,USA,Surfing,Hemisphere-N,nov
2801,2801,19-Nov-1986,USA,Surfing,Hemisphere-N,nov
2802,2802,04-Nov-1986,USA,Surfing,Hemisphere-N,nov
2803,2803,17-Oct-1986,SOUTH AFRICA,NSB Meshing,Hemisphere-S,oct
2804,2804,03-Oct-1986,USA,Swimming,Hemisphere-N,oct
2805,2805,05-Oct-1986,SOUTH AFRICA,Racing ski,Hemisphere-S,oct
2806,2806,01-Oct-1986,AUSTRALIA,,Hemisphere-S,oct
2807,2807,Oct-1986,USA,Surfing,Hemisphere-N,oct
2809,2809,Sep-1986,USA,Surfing,Hemisphere-N,sep
2810,2810,Sep-1986,USA,Surfing,Hemisphere-N,sep
2811,2811,19-Aug-1986,USA,Surfing,Hemisphere-N,aug
2812,2812,10-Aug-1986,SOUTH AFRICA,Spearfishing,Hemisphere-S,aug
2813,2813,03-Aug-1986,AUSTRALIA,Scuba diving,Hemisphere-S,aug
2815,2815,26-Jul-1986,AUSTRALIA,Fishing,Hemisphere-S,jul
2816,2816,09-Jul-1986,USA,,Hemisphere-N,jul
2817,2817,Jul-1986,SOUTH AFRICA,Spearfishing,Hemisphere-S,jul
2818,2818,18-May-1986,AUSTRALIA,Scuba diving,Hemisphere-S,may
2820,2820,20-Apr-1986,USA,"Fishing, fell from rocks & disappeared",Hemisphere-N,apr
2823,2823,15-Mar-1986,SOUTH AFRICA,Treading water,Hemisphere-S,mar
2824,2824,5-Mar-1986,SOUTH AFRICA,Surfing,Hemisphere-S,mar
2825,2825,18-Feb-1986,SOUTH AFRICA,Surfing,Hemisphere-S,feb
2826,2826,17-Feb-1986,SOUTH AFRICA,Surfing,Hemisphere-S,feb
2827,2827,07-Feb-1986,SOUTH AFRICA,Swimming,Hemisphere-S,feb
2828,2828,06-Feb-1986,SOUTH AFRICA,Spearfishing,Hemisphere-S,feb
2829,2829,01-Feb-1986,AUSTRALIA,Surfing,Hemisphere-S,feb
2830,2830,12-Jan-1986,USA,Surfing,Hemisphere-N,jan
2832,2832,22-Dec-1985,SOUTH AFRICA,Surfing,Hemisphere-S,dec
2833,2833,10-Dec-1985,USA,,Hemisphere-N,dec
2834,2834,11-Nov-1985,AUSTRALIA,Fishing,Hemisphere-S,nov
2835,2835,05-Nov-1985,USA,Boat,Hemisphere-N,nov
2836,2836,03-Nov-1985,USA,Fishing,Hemisphere-N,nov
2837,2837,24-Oct-1985,SOUTH AFRICA,Body boarding,Hemisphere-S,oct
2838,2838,22-Oct-1985,USA,Hookah diving for abalone,Hemisphere-N,oct
2839,2839,18-Oct-1985,USA,Body boarding,Hemisphere-N,oct
2840,2840,12-Oct-1985,USA,Floating on inner tube after diving for lobster,Hemisphere-N,oct
2841,2841,05-Oct-1985,USA,Fishing,Hemisphere-N,oct
2842,2842,28-Sep-1985,USA,Free diving & spearfishing (descending),Hemisphere-N,sep
2843,2843,08-Sep-1985,SOUTH AFRICA,Swimming,Hemisphere-S,sep
2844,2844,08-Sep-1985,USA,Scuba diving,Hemisphere-N,sep
2845,2845,05-Sep-1985,USA,Swimming,Hemisphere-N,sep
2846,2846,22-Aug-1985,USA,Wading,Hemisphere-N,aug
2847,2847,20-Aug-1985,USA,Wading,Hemisphere-N,aug
2848,2848,17-Aug-1985,USA,Scuba diving,Hemisphere-N,aug
2849,2849,25-Jul-1985,USA,Wading,Hemisphere-N,jul
2850,2850,25-Jul-1985,USA,Surfing,Hemisphere-N,jul
2851,2851,21-Jul-1985,USA,Bottom fishing for lingcod & had hooked a fish,Hemisphere-N,jul
2852,2852,19-Jul-1985,USA,Playing in knee-deep water,Hemisphere-N,jul
2854,2854,26-May-1985,USA,"Surfing, but lying prone on his board",Hemisphere-N,may
2855,2855,08-May-1985,SOUTH AFRICA,Spearfishing,Hemisphere-S,may
2856,2856,16-Mar-1985,USA,Surfing,Hemisphere-N,mar
2857,2857,03-Mar-1985,AUSTRALIA,Free diving for scallops,Hemisphere-S,mar
2858,2858,18-Feb-1985,USA,Scuba Diving for lobster (at surface),Hemisphere-N,feb
2859,2859,03-Feb-1985,USA,Surfing,Hemisphere-N,feb
2860,2860,27-Jan-1985,SOUTH AFRICA,Swimming,Hemisphere-S,jan
2861,2861,18-Jan-1985,SOUTH AFRICA,,Hemisphere-S,jan
2862,2862,17-Jan-1985,SOUTH AFRICA,Surfing,Hemisphere-S,jan
2863,2863,16-Jan-1985,NEW ZEALAND,Investigating shark sighting,Hemisphere-S,jan
2864,2864,04-Jan-1985,SOUTH AFRICA,Spearfishing,Hemisphere-S,jan
2866,2866,Jan-1985,SOUTH AFRICA,Spearfishing,Hemisphere-S,jan
2870,2870,30-Nov-1984,AUSTRALIA,Sailing on catamaran & fell into the water,Hemisphere-S,nov
2871,2871,11-Nov-1984,USA,Surfing,Hemisphere-N,nov
2872,2872,04-Nov-1984,USA,Spearfishing,Hemisphere-N,nov
2873,2873,21-Oct-1984,USA,Swimming,Hemisphere-N,oct
2874,2874,21-Oct-1984,USA,Surfing or body surfing,Hemisphere-N,oct
2875,2875,17-Oct-1984,USA,Wading,Hemisphere-N,oct
2876,2876,14-Oct-1984,USA,Surfing,Hemisphere-N,oct
2877,2877,30-Sep-1984,USA,Surfing (sitting on his board),Hemisphere-N,sep
2878,2878,30-Sep-1984,USA,"Free diving , but surfacing",Hemisphere-N,sep
2879,2879,23-Sep-1984,USA,Surfing,Hemisphere-N,sep
2880,2880,22-Sep-1984,USA,Swimming,Hemisphere-N,sep
2881,2881,22-Sep-1984,USA,Surfing,Hemisphere-N,sep
2882,2882,19-Sep-1984,USA,Swimming,Hemisphere-N,sep
2883,2883,17-Sep-1984,USA,Wading,Hemisphere-N,sep
2884,2884,15-Sep-1984,USA,Skindiving,Hemisphere-N,sep
2886,2886,24-Aug-1984,USA,Boat capsized?,Hemisphere-N,aug
2888,2888,24-Jul-1984,USA,Swimming,Hemisphere-N,jul
2889,2889,24-Jul-1984,USA,Swimming,Hemisphere-N,jul
2890,2890,22-Jul-1984,SOUTH AFRICA,Spearfishing,Hemisphere-S,jul
2891,2891,01-Jul-1984,USA,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water",Hemisphere-N,jul
2892,2892,Jul-1984,SOUTH AFRICA,Spearfishing,Hemisphere-S,jul
2893,2893,15-Jun-1984,SOUTH AFRICA,Surfing,Hemisphere-S,jun
2894,2894,03-Jun-1984,USA,Towing her sister on plastic ski board,Hemisphere-N,jun
2896,2896,31-May-1984,SOUTH AFRICA,Spearfishing,Hemisphere-S,may
2898,2898,14-Mar-1984,SOUTH AFRICA,Surfing,Hemisphere-S,mar
2899,2899,10-Mar-1984,SOUTH AFRICA,Rowing,Hemisphere-S,mar
2900,2900,01-Mar-1984,AUSTRALIA,,Hemisphere-S,mar
2901,2901,18-Feb-1984,SOUTH AFRICA,Fishing,Hemisphere-S,feb
2902,2902,17-Feb-1984,SOUTH AFRICA,Scuba diving,Hemisphere-S,feb
2903,2903,12-Feb-1984,SOUTH AFRICA,,Hemisphere-S,feb
2904,2904,11-Feb-1984,AUSTRALIA,Spearfishing,Hemisphere-S,feb
2905,2905,05-Jan-1984,SOUTH AFRICA,Swimming,Hemisphere-S,jan
2906,2906,04-Jan-1984,SOUTH AFRICA,,Hemisphere-S,jan
2910,2910,25-Dec-1983,USA,Surfing,Hemisphere-N,dec
2911,2911,24-Dec-1983,AUSTRALIA,Scuba diving for abalone,Hemisphere-S,dec
2912,2912,22-Dec-1983,SOUTH AFRICA,Swimming,Hemisphere-S,dec
2913,2913,21-Dec-1983,SOUTH AFRICA,Swimming,Hemisphere-S,dec
2914,2914,07-Dec-1983,SOUTH AFRICA,,Hemisphere-S,dec
2917,2917,10-Nov-1983,SOUTH AFRICA,Swimming,Hemisphere-S,nov
2918,2918,17-Oct-1983,USA,Surfing,Hemisphere-N,oct
2919,2919,13-Oct-1983,USA,Wading,Hemisphere-N,oct
2920,2920,04-Sep-1983,USA,Standing,Hemisphere-N,sep
2921,2921,20-Aug-1983,USA,Surfing,Hemisphere-N,aug
2922,2922,20-Aug-1983,SOUTH AFRICA,Spearfishing,Hemisphere-S,aug
2923,2923,15-Aug-1983,USA,Swimming,Hemisphere-N,aug
2924,2924,13-Aug-1983,USA,Skindiving,Hemisphere-N,aug
2925,2925,13-Aug-1983,USA,Diving,Hemisphere-N,aug
2926,2926,06-Aug-1983,USA,Fishing,Hemisphere-N,aug
2927,2927,26-Jul-1983,AUSTRALIA,Swimming from the New Venture ,Hemisphere-S,jul
2928,2928,25-Jul-1983,AUSTRALIA,Swimming from the New Venture ,Hemisphere-S,jul
2929,2929,25-Jul-1983,AUSTRALIA,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,Hemisphere-S,jul
2930,2930,15-Jul-1983,SOUTH AFRICA,Surfing,Hemisphere-S,jul
2931,2931,12-Jul-1983,USA,Windsurfing,Hemisphere-N,jul
2933,2933,05-Jul-1983,USA,Floating on air mattress,Hemisphere-N,jul
2934,2934,29-Jun-1983,USA,Swimming,Hemisphere-N,jun
2936,2936,20-Jun-1983,USA,Surfing & dangling foot in water amid baitfish,Hemisphere-N,jun
2940,2940,31-May-1983,USA,Water-skiing,Hemisphere-N,may
2941,2941,24-May 1983,USA,Surfing,Hemisphere-N,may
2942,2942,21-May-1983,USA,Surfing,Hemisphere-N,may
2943,2943,19-Apr-1983,USA,Surfing,Hemisphere-N,apr
2944,2944,12-Apr-1983,SOUTH AFRICA,Fishing,Hemisphere-S,apr
2945,2945,02-Apr-1983,USA,Surfing,Hemisphere-N,apr
2946,2946,02-Apr-1983,SOUTH AFRICA,,Hemisphere-S,apr
2947,2947,30-Mar-1983,SOUTH AFRICA,Spearfishing,Hemisphere-S,mar
2948,2948,22-Mar-1983,SOUTH AFRICA,Surfing,Hemisphere-S,mar
2949,2949,10-Mar-1983,USA,Surfing,Hemisphere-N,mar
2951,2951,20-Feb-1983,SOUTH AFRICA,Paddleskiing,Hemisphere-S,feb
2952,2952,24-Jan-1983,USA,Fishing,Hemisphere-N,jan
2953,2953,15-Jan-1983,SOUTH AFRICA,,Hemisphere-S,jan
2954,2954,10-Jan-1983,SOUTH AFRICA,Windsurfing,Hemisphere-S,jan
2955,2955,08-Jan-1983,SOUTH AFRICA,Spearfishing,Hemisphere-S,jan
2959,2959,Nov-1982,USA,In waist-deep water,Hemisphere-N,nov
2960,2960,13-Oct-1982,USA,Windsurfing,Hemisphere-N,oct
2961,2961,30-Sep-1982,SOUTH AFRICA,Surfing,Hemisphere-S,sep
2962,2962,30-Sep-1982,SOUTH AFRICA,Surfing,Hemisphere-S,sep
2963,2963,27-Sep-1982,USA,Surfing,Hemisphere-N,sep
2964,2964,25-Sep-1982,USA,Diving,Hemisphere-N,sep
2965,2965,19-Sep-1982,USA,Free diving for abalone from Zodiac (submerged),Hemisphere-N,sep
2966,2966,04-Sep-1982,USA,,Hemisphere-N,sep
2968,2968,29-Aug-1982,USA,Surfing,Hemisphere-N,aug
2969,2969,29-Aug-1982,SOUTH AFRICA,Swimming,Hemisphere-S,aug
2971,2971,31-Jul-1982,SOUTH AFRICA,Boogie boarding,Hemisphere-S,jul
2972,2972,24-Jul-1982,SOUTH AFRICA,Paddleskiing,Hemisphere-S,jul
2973,2973,24-Jul-1982,USA,Paddle Boarding,Hemisphere-N,jul
2974,2974,19-Jul-1982,USA,Swimming,Hemisphere-N,jul
2975,2975,11-Jul-1982,USA,Swimming,Hemisphere-N,jul
2976,2976,01-Jul-1982,USA,Swimming,Hemisphere-N,jul
2978,2978,29-Jun-1982,SOUTH AFRICA,Surfing,Hemisphere-S,jun
2979,2979,26-Jun-1982,USA,Swimming,Hemisphere-N,jun
2981,2981,25-Jun-1982,USA,,Hemisphere-N,jun
2982,2982,13-Jun-1982,USA,"Sailboarding, fell into water 100 yards outside the breakwater",Hemisphere-N,jun
2983,2983,May 1982,USA,,Hemisphere-N,may
2984,2984,10-Mar-1982,USA,Surfing,Hemisphere-N,mar
2985,2985,07-Mar-1982,AUSTRALIA,Surfing,Hemisphere-S,mar
2987,2987,28-Feb-1982,AUSTRALIA,Spearfishing,Hemisphere-S,feb
2988,2988,27-Feb-1982,USA,Surfing,Hemisphere-N,feb
2989,2989,17-Feb-1982,SOUTH AFRICA,Fishing,Hemisphere-S,feb
2990,2990,14-Feb-1982,USA,Wading,Hemisphere-N,feb
2991,2991,14-Feb-1982,USA,Swimming,Hemisphere-N,feb
2992,2992,13-Feb-1982,USA,Swimming,Hemisphere-N,feb
2993,2993,07-Feb-1982,USA,Scuba diving (submerged),Hemisphere-N,feb
2994,2994,07-Feb-1982,USA,Diving,Hemisphere-N,feb
2995,2995,29-Jan-1982,SOUTH AFRICA,Swimming,Hemisphere-S,jan
2999,2999,19-Dec-1981,USA,Surfing,Hemisphere-N,dec
3000,3000,13-Dec-1981,AUSTRALIA,,Hemisphere-S,dec
3001,3001,13-Dec-1981,USA,"Spearfishing, but swimming on surface",Hemisphere-N,dec
3003,3003,19-Oct-1981,SOUTH AFRICA,Inspecting teeth of supposedly dead (hooked & shot) shark,Hemisphere-S,oct
3004,3004,09-Nov-1981,USA,Diving to untangle a crab trap line from boat's propeller,Hemisphere-N,nov
3005,3005,19-Oct-1981,USA,Swimming,Hemisphere-N,oct
3006,3006,17-Oct-1981,USA,Surfing,Hemisphere-N,oct
3007,3007,16-Oct-1981,USA,Surfing,Hemisphere-N,oct
3008,3008,01-Oct-1981,USA,Surfing,Hemisphere-N,oct
3009,3009,28-Sep-1981,USA,Surfing,Hemisphere-N,sep
3010,3010,27-Sep-1981,USA,Surfing,Hemisphere-N,sep
3011,3011,15-Sep-1981,USA,Swimming,Hemisphere-N,sep
3012,3012,03-Sep-1981,USA,Surfing,Hemisphere-N,sep
3013,3013,03-Sep-1981,USA,Surfing,Hemisphere-N,sep
3014,3014,29-Aug-1981,USA,Surfing,Hemisphere-N,aug
3015,3015,24-Aug-1981,USA,Spearfishing,Hemisphere-N,aug
3016,3016,24-Aug-1981,USA,Fishing,Hemisphere-N,aug
3017,3017,10-Aug-1981,USA,Diving,Hemisphere-N,aug
3018,3018,10-Aug-1981,USA,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",Hemisphere-N,aug
3020,3020,20-Jul-1981,USA,Swimming,Hemisphere-N,jul
3021,3021,18-Jul-1981,SOUTH AFRICA,Surfing,Hemisphere-S,jul
3022,3022,07-Jul-1981,USA,Spearfishing,Hemisphere-N,jul
3023,3023,01-Jul-1981,SOUTH AFRICA,Catching sardines,Hemisphere-S,jul
3025,3025,12-Jun-1981,USA,,Hemisphere-N,jun
3026,3026,24-May-1981,USA,"Scuba diving, reportedly also spearfishing",Hemisphere-N,may
3028,3028,20-May-1981,SOUTH AFRICA,Surfing,Hemisphere-S,may
3029,3029,19-May-1981,USA,Free diving,Hemisphere-N,may
3030,3030,16-May-1981,USA,Diving,Hemisphere-N,may
3031,3031,10-May-1981,SOUTH AFRICA,Surfing,Hemisphere-S,may
3034,3034,05-May-1981,SOUTH AFRICA,Surfing,Hemisphere-S,may
3035,3035,25-Mar-1981,USA,Standing / Wading,Hemisphere-N,mar
3036,3036,24-Mar-1981,USA,Surfing,Hemisphere-N,mar
3039,3039,19-Feb-1981,SOUTH AFRICA,Swimming,Hemisphere-S,feb
3040,3040,16-Feb-1981,AUSTRALIA,Exercising his dog in the shallows,Hemisphere-S,feb
3041,3041,07-Feb-1981,AUSTRALIA,,Hemisphere-S,feb
3042,3042,02-Feb-1981,USA,Surfing,Hemisphere-N,feb
3044,3044,30-Jan-1981,USA,Commercial spearfishing,Hemisphere-N,jan
3045,3045,01-Jan-1981,SOUTH AFRICA,Swimming,Hemisphere-S,jan
3049,3049,26-Dec-1980,SOUTH AFRICA,,Hemisphere-S,dec
3051,3051,18-Nov-1980,AUSTRALIA,Swimming,Hemisphere-S,nov
3052,3052,17-Nov-1980,SOUTH AFRICA,Swimming,Hemisphere-S,nov
3054,3054,27-Oct-1980,USA,Surfing,Hemisphere-N,oct
3055,3055,17-Oct-1980,USA,Surfing,Hemisphere-N,oct
3057,3057,10-Aug-1980,USA,Wading,Hemisphere-N,aug
3058,3058,04-Aug-1980,USA,Resting on body board,Hemisphere-N,aug
3060,3060,27-Jul-1980,USA,Body surfing,Hemisphere-N,jul
3061,3061,23-Jul-1980,USA,Standing,Hemisphere-N,jul
3064,3064,26-Jun-1980,USA,Scuba diving,Hemisphere-N,jun
3065,3065,15-May-1980,SOUTH AFRICA,Surfing,Hemisphere-S,may
3069,3069,29-Mar-1980,SOUTH AFRICA,Free diving,Hemisphere-S,mar
3072,3072,11-Mar-1980,SOUTH AFRICA,Fishing,Hemisphere-S,mar
3073,3073,31-Jan-1980,SOUTH AFRICA,Body boarding,Hemisphere-S,jan
3075,3075,15-Jan-1980,SOUTH AFRICA,Spearfishing,Hemisphere-S,jan
3076,3076,13-Jan-1980,SOUTH AFRICA,Swimming,Hemisphere-S,jan
3077,3077,10-Jan-1980,SOUTH AFRICA,Swimming,Hemisphere-S,jan
3083,3083,21-Dec-1979,SOUTH AFRICA,Swimming,Hemisphere-S,dec
3086,3086,27-Nov-1979,USA,Surfing,Hemisphere-N,nov
3087,3087,12-Nov-1979,SOUTH AFRICA,Shark fishing,Hemisphere-S,nov
3088,3088,22-Oct-1979,SOUTH AFRICA,Fishing,Hemisphere-S,oct
3089,3089,14-Sep-1979,AUSTRALIA,Scuba diving,Hemisphere-S,sep
3092,3092,05-Aug-1979,USA,Kayaking,Hemisphere-N,aug
3094,3094,19-Jun-1979,USA,Floating with life preserver after his boat foundered,Hemisphere-N,jun
3095,3095,27-May-1979,USA,Scuba diving,Hemisphere-N,may
3096,3096,05 May 1979,SOUTH AFRICA,Spearfishing,Hemisphere-S,may
3097,3097,03-May-1979,SOUTH AFRICA,Scuba diving,Hemisphere-S,may
3100,3100,08-Apr-1979,USA,Swimming,Hemisphere-N,apr
3101,3101,08-Apr-1979,USA,Body surfing,Hemisphere-N,apr
3102,3102,24-Mar-1979,USA,Surfing,Hemisphere-N,mar
3103,3103,11-Mar-1979,USA,Scuba diving (submerged),Hemisphere-N,mar
3104,3104,01-Mar-1979,SOUTH AFRICA,,Hemisphere-S,mar
3106,3106,21-Feb-1979,SOUTH AFRICA,"Surfing, collided with shark",Hemisphere-S,feb
3108,3108,29-Dec-1978,AUSTRALIA,,Hemisphere-S,dec
3109,3109,12-Dec-1978,SOUTH AFRICA,Spearfishing,Hemisphere-S,dec
3110,3110,26-Nov-1978,USA,Surfing,Hemisphere-N,nov
3111,3111,23-Nov-1978,USA,Surfing,Hemisphere-N,nov
3112,3112,21-Oct-1978,SOUTH AFRICA,Fishing,Hemisphere-S,oct
3113,3113,27-Sep-1978,SOUTH AFRICA,Spearfishing,Hemisphere-S,sep
3116,3116,05-Aug-1978,USA,Wading,Hemisphere-N,aug
3118,3118,27-Jul-1978,USA,"Explosion destroyed 28' boat, survivors in the water",Hemisphere-N,jul
3119,3119,19-Jul-1978,USA,Fishing,Hemisphere-N,jul
3120,3120,21-Jun-1978,USA,Surfing,Hemisphere-N,jun
3121,3121,21-Jun-1978,USA,Surfing,Hemisphere-N,jun
3125,3125,Apr-1978`,AUSTRALIA,Scuba diving,Hemisphere-S,apr
3126,3126,05-Mar-1978,SOUTH AFRICA,,Hemisphere-S,mar
3127,3127,28-Feb-1978,SOUTH AFRICA,Fishing for mackerel,Hemisphere-S,feb
3128,3128,19-Feb-1978,SOUTH AFRICA,Diving,Hemisphere-S,feb
3129,3129,07-Jan-1978,SOUTH AFRICA,Surfing,Hemisphere-S,jan
3130,3130,06-Jan-1978,SOUTH AFRICA,,Hemisphere-S,jan
3133,3133,31-Dec-1977,USA,"Swimming, after single-engine aircraft went down in the sea",Hemisphere-N,dec
3134,3134,19-Dec-1977,USA,Surfing,Hemisphere-N,dec
3135,3135,19-Dec-1977,SOUTH AFRICA,Surfing,Hemisphere-S,dec
3136,3136,Dec-1977,SOUTH AFRICA,Fishing for bottom fish,Hemisphere-S,dec
3137,3137,12-Nov-1977,SOUTH AFRICA,Standing,Hemisphere-S,nov
3138,3138,30-Oct-1977,SOUTH AFRICA,Spearfishing,Hemisphere-S,oct
3139,3139,31-Aug-1977,AUSTRALIA,Surfing,Hemisphere-S,aug
3140,3140,23-Aug-1977,AUSTRALIA,Floating on an inflatable raft,Hemisphere-S,aug
3141,3141,19-Aug-1977,SOUTH AFRICA,Fishing,Hemisphere-S,aug
3142,3142,14-Aug-1977,USA,Free diving for abalone (surfacing),Hemisphere-N,aug
3143,3143,05-Aug-1977,USA,Wading,Hemisphere-N,aug
3144,3144,02-Jul-1977,USA,40' fishing boat sank,Hemisphere-N,jul
3145,3145,26-Jun-1977,USA,Spearfishing / Scuba diving,Hemisphere-N,jun
3146,3146,06-Jun-1977,USA,Collecting fish from net,Hemisphere-N,jun
3147,3147,26-May-1977,SOUTH AFRICA,Fishing for yellowtail,Hemisphere-S,may
3148,3148,16-May-1977,AUSTRALIA,,Hemisphere-S,may
3149,3149,26-Apr-1977,AUSTRALIA,,Hemisphere-S,apr
3150,3150,21-Apr-1977,USA,Swimming,Hemisphere-N,apr
3151,3151,17-Mar-1977,SOUTH AFRICA,Swimming,Hemisphere-S,mar
3152,3152,13-Mar-1977,AUSTRALIA,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Hemisphere-S,mar
3153,3153,13-Mar-1977,AUSTRALIA,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Hemisphere-S,mar
3154,3154,13-Mar-1977,AUSTRALIA,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Hemisphere-S,mar
3155,3155,26-Feb-1977,AUSTRALIA,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",Hemisphere-S,feb
3156,3156,04-Feb-1977,AUSTRALIA,,Hemisphere-S,feb
3159,3159,29-Dec-1976,AUSTRALIA,,Hemisphere-S,dec
3160,3160,18-Dec-1976,USA,Hookah diving for abalone (submerged),Hemisphere-N,dec
3161,3161,27-Nov-1976,SOUTH AFRICA,"Thrashing the water / imitating the shark victim from ""Jaws""",Hemisphere-S,nov
3162,3162,26-Nov-1976,AUSTRALIA,,Hemisphere-S,nov
3163,3163,25-Nov-1976,USA,Surfing,Hemisphere-N,nov
3164,3164,23-Nov-1976,SOUTH AFRICA,Swimming,Hemisphere-S,nov
3165,3165,Nov-1976,SOUTH AFRICA,Fishing for white shark,Hemisphere-S,nov
3166,3166,27-Oct-1976,SOUTH AFRICA,Boat,Hemisphere-S,oct
3167,3167,18-Oct-1976,USA,Surfing,Hemisphere-N,oct
3168,3168,06-Oct-1976,SOUTH AFRICA,Surfing,Hemisphere-S,oct
3170,3170,19-Sep-1976,AUSTRALIA,"Skindiving,",Hemisphere-S,sep
3172,3172,12-Sep-1976,USA,Swimming,Hemisphere-N,sep
3173,3173,12-Sep-1976,USA,Swimming,Hemisphere-N,sep
3174,3174,06-Sep-1976,USA,Surfing,Hemisphere-N,sep
3175,3175,26-Aug-1976,USA,"Surfing, fell off surfboard",Hemisphere-N,aug
3176,3176,24-Aug-1976,USA,Surfing,Hemisphere-N,aug
3177,3177,24-Jul-1976,USA,Spearfishing,Hemisphere-N,jul
3178,3178,21-Jul-1976,USA,Playing,Hemisphere-N,jul
3179,3179,16-Jul-1976,USA,Scuba diving,Hemisphere-N,jul
3180,3180,12-Jul-1976,USA,Spearfishing,Hemisphere-N,jul
3181,3181,23-Jun-1976,USA,Skindiving,Hemisphere-N,jun
3182,3182,10-Jun-1976,USA,Swimming,Hemisphere-N,jun
3184,3184,01-Jun-1976,AUSTRALIA,Sitting in bow of her father's 5 m boat,Hemisphere-S,jun
3185,3185,02-May-1976,SOUTH AFRICA,Competing in a light tackle game fishing,Hemisphere-S,may
3186,3186,28-Apr-1976,USA,,Hemisphere-N,apr
