,Date,Country,Activity
3507,07-Sep-1967,PAPUA NEW GUINEA,Diving
3508,07-Sep-1967,USA,Spearfishing
3509,06-Sep-1967,PAPUA NEW GUINEA,Spearfishing
3510,01-Sep-1967,PAPUA NEW GUINEA,Spearfishing
3511,27-Aug-1967,USA,Pulling shark from the water
3512,26-Aug-1967,JAPAN,
3513,25-Aug-1967,ITALY,Spearfishing on Scuba
3514,19-Aug-1967,AUSTRALIA,"Spearfishing, dived to pick up a float line"
3515,15-Aug-1967,BERMUDA,Floating
3516,Reported 14-Aug-1967,COLUMBIA,
3517,10-Aug-1967,AUSTRALIA,Anti-sabotage night dive exercise alongside destroyer (Scuba diving)
3518,07-Aug-1967,USA,Spearfishing
3519,Aug-1967,BAHAMAS,Photographing sharks underwater using Scuba
3520,Aug-1967,SENEGAL,Beach seine netting
3521,29-Jul-1967,USA,Snorkeling
3522,05-Jul-1967,TURKEY,Spearfishing
3523,Jul-1967,USA,Surfing
3524,13-Jun-1967,USA,Spearfishing
3525,Jun-1967,ITALY,Fishing boat
3526,13 or 30-May-1967,AUSTRALIA,
3527,09-May-1967,AUSTRALIA,Feeding a shark
3528,Apr-1967,UNITED KINGDOM,Fishing
3529,20-Mar-1967,NEW ZEALAND,Freediving
3530,19-Mar-1967,SOUTH AFRICA,Spearfishing
3531,12-Mar-1967,AUSTRALIA,Spearfishing
3532,10-Mar-1967,AUSTRALIA,Vehicle plunged over cliff into the water
3533,09-Mar-1967,NEW ZEALAND,Lifesaving drill
3534,01-Mar-1967,PAPUA NEW GUINEA,
3535,06-Feb-1967,MEXICO,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  
3536,27-Jan-1967,SOUTH AFRICA,Fishing for rock lobster
3537,22-Jan-1967,SOUTH AFRICA,Spearfishing Competition
3538,21-Jan-1967,MOZAMBIQUE,Swimming in the channel
3539,06-Jan-1967,AUSTRALIA,Splashing
3540,31-Dec-1966,AUSTRALIA,Fishing
3541,27-Dec-1966,AUSTRALIA,Spearfishing
3542,27-Dec-1966,AUSTRALIA,Spearfishing
3543,26-Dec-1966,SINGAPORE,Wading
3544,26-Dec-1966,AUSTRALIA,Spearfishing
3545,14-Nov-1966,THAILAND,
3546,Early Nov-1966,PAPUA NEW GUINEA,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water
3547,30-Oct-1966,PAPUA NEW GUINEA,Swimming
3548,19-Oct-1966,PAPUA NEW GUINEA,Bathing
3549,27-Sep-1966,AUSTRALIA,"Free diving, carrying speargun"
3550,19-Sep-1966,USA,Fishing
3551,18-Sep-1966,AUSTRALIA,Spearfishing
3552,13-Sep-1966,AUSTRALIA,Spearfishing
3553,10-Sep-1966,AUSTRALIA,Spearfishing
3554,8-Sep-1966,USA,Hunting crayfish 
3555,Sep- 1966,BAHAMAS,Diving / UW photography
3556,28-Aug-1966,AUSTRALIA,
3557,27-Aug-1966,SOUTH AFRICA,Netting sharks
3558,27-Aug-1966,BAHAMAS,Snorkeling
3559,23-Aug-1966,NEW BRITAIN,Swimming
3560,23-Aug-1966,NEW BRITAIN,Diving into water
3561,16-Aug-1966,CROATIA,Swimming
3562,14-Aug-1966,TAIWAN,Lobster diving using Scuba
3563,13-Aug-1966,ITALY,Attacked shark with fists
3564,Mid Aug-1966,USA,Spearfishing on Scuba
3565,Aug-1966,USA,Wading
3566,31-Jul-1966,USA,Diving for sand dollars
3567,19-Jul-1966,USA,Killing a shark
3568,17-Jul-1966,USA,Fishing
3569,17-Jul-1966,TAIWAN,Swimming
3570,14-Jul-1966,PAPUA NEW GUINEA,Swimming
3571,03-Jul-1966,USA,Free diving
3572,02-Jul-1966,CARIBBEAN SEA,
3573,22-Jun-1966,USA,Clamming
3574,11-Jun-1966,USA,Fishing
3575,04-Jun-1966,USA,Swimming
3576,02-Jun-1966,FRENCH POLYNESIA,Fishing
3577,20-May-1966,AUSTRALIA,Sinking of the dredge World Atlas
3578,20-May-1966,AUSTRALIA,Fishing
3579,20-May-1966,AUSTRALIA,Shipwreck
3580,16-May-1966,USA,Spearfishing / Scuba diving
3581,16-May-1966,PHILIPPINES,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma
3582,08-Apr-1966,USA,Swimming
3583,Apr-1966,AUSTRALIA,Overturned skiff
3584,20-Mar-1966,AUSTRALIA,Fishing (big game)
3585,14-Mar-1966,SUDAN,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water."
3586,27-Feb-1966,AUSTRALIA,Treading water
3587,29-Jan-1966,SOUTH AFRICA,Helping men land a shark
3588,25-Jan-1966,INDONESIA,wreck of the State Oil Company ship Permina
3589,22-Jan-1966,USA,Free diving / spearfishing (resting on the surface)
3590,15-Jan-1966,AUSTRALIA,Spearfishing
3591,14-Jan-1966,COLUMBIA,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff
3592,11-Jan-1966,SOUTH AFRICA,Standing
3593,10-Jan-1966,AUSTRALIA,Jumped into the water
3594,09-Jan-1966,SOUTH AFRICA,Body surfing
3595,08-Jan-1966,NEW ZEALAND,Body surfing 
3596,05-Jan-1966,USA,Swimming
3597,Summer of 1996,USA,Walking
3598,28-Dec-1965,AUSTRALIA,"Spearfishing, but standing in knee-deep water"
3599,19-Dec-1965,JOHNSTON ISLAND,Freediving
3600,10-Dec-1965,AUSTRALIA,Fishing
3601,21-Nov-1965,AUSTRALIA,Fishing from 34' boat when pulled overboard by hooked shark
3602,21-Nov-1965,PACIFIC OCEAN ,"Hauling dead shark aboard, when another shark leapt out of the water & bit him"
3603,03-Nov-1965,PANAMA,Argentine Air Force C-54
3604,03-Nov-1965,AUSTRALIA,Surfing
3605,21-Oct-1965,,The boat Caribou II sank
3606,16-Oct-1965,BAHAMAS,Sunbathing on beach when he saw child being attacked by the shark
3607,16-Oct-1965,BAHAMAS,Playing in the water
3608,10-Oct-1965,NEW BRITAIN,"Spearfishing, shot a turtle"
3609,Oct-1965,PAPUA NEW GUINEA,Wading
3610,21-Sep-1965,PAPUA NEW GUINEA,Spearing fish
3611,12-Sep-1965,PAPUA NEW GUINEA,Fishing (rod & line)
3612,08-Sep-1965,MEXICO,
3613,30-Aug-1965,PHILIPPINES,"Arsinoe, a French tanker"
3614,26-Aug-1965,USA,Swimming
3615,30-Jul-1964,BAHAMAS,Attempting to anesthetize shark
3616,26-Jul-1965,MEXICO,Bathing
3617,Reported 02-Jul-1965,BERMUDA,
3618,19-Jun-1965,USA,Wading
3619,18-Jun-1965,USA,"Diving, retrieving film package from Titan 3C rocket"
3620,09-Jun-1965,MEXICO,Swimming
3621,Jun-1965,PAPUA NEW GUINEA,Spearfishing
3622,Jun-1965,SOUTH PACIFIC OCEAN,Treading water
3623,29-May-1965,MEXICO,Swimming
3624,28-May-1965,MEXICO,Swimming
3625,May-Jun-1965,EGYPT,Standing
3626,May 1965,JAMAICA,Diving
3627,May 1965,MEXICO,Swimming
3628,29-Apr-1965,USA,
3629,25-Apr-1965,USA,Surfing
3630,10-Apr-1965,USA,Spearfishing
3631,04-Apr-1965,PALAU,Walking on reef
3632,04-Apr-1965,USA,Paddling on surfboard
3633,23-Mar-1965,USA,Aircraft exploded
3634,14-Mar-1965,USA,Free diving
3635,14-Feb-1965,SOUTH AFRICA,Treading water
3636,04-Feb-1965,USA,Scuba diving
3637,25-Jan-1965,USA,Motor boat Rebel Belle lost
3638,23-Jan-1965,SOUTH AFRICA,Paddling rescue ski
3639,16-Jan-1965,SOUTH AFRICA,Body surfing
3640,10-Jan-1965,AUSTRALIA,Swimming
3641,09-Jan-1965,NEW GUINEA,Free diving
3642,Summer 1965,USA,Dangling feet in the water
3643,1965,USA,Surfing
3644,Early 1965,USA,Collecting marine specimens
3645,May-Jun-1965,RED SEA,Standing in waist-deep water
3646,May-Jun-1965,EGYPT,"Spearfishing, but standing in the water"
3647,1965,VANUATU,
3648,Ca. 1965,SOUTH AFRICA,Bather
3649,25-Dec-1964,SOUTH AFRICA,Swimming
3650,10-Dec-1964,PAPUA NEW GUINEA,
3651,10-Dec-1964,AUSTRALIA,Fishing
3652,09-Dec-1964,PAPUA NEW GUINEA,"Canoe swamped, swimming back to canoe"
3653,06-Dec-1964,KENYA,Fishing with hand line tied to wrist & was pulled into the water
3654,29-Nov-1964,AUSTRALIA,Free diving with seals
3655,18-Nov-1964,AUSTRALIA,Swimming out to rescue swimmers in difficulty
3656,13-Nov-1964,AUSTRALIA,"Filming underwater, carrying powerhead"
3657,05-Nov-1964,USA,Longline fishing
3658,31-Oct-1964,SOUTH AFRICA,Surf fishing
3659,25-Oct-1964,USA,Boat Miss Becky  sank 12 miles from shore
3660,04-Oct-1964,AUSTRALIA,"Surfing, but swimming to his board"
3661,27-Sep-1964,,Spearfishing
3662,20-Sep-1964,TAIWAN,Swimming
3663,07-Sep-1964,TAIWAN,Swimming
3664,26-Aug-1964,USA,Swimming
3665,23-Aug-1964,MEXICO,Floating on his back in an inner tube
3666,22-Aug-1964,USA,Spearfishing / free diving
3667,21-Aug-1964,USA,Swimming
3668,08-Aug-1964,USA,Spearfishing using scuba
3669,03-Aug-1964,JAPAN,Swimming
3670,Aug-1964,PANAMA,Free diving / Spearfishingat edge of reef
3671,27-Jul-1964,USA,
3672,16-Jul-1964,SOUTH AFRICA,Searching for remains of  Dr. Marais
3673,15-Jul-1964,USA,"Yacht Gooney Bird foundered, 4 survivors on raft"
3674,10-Jul-1964,SOUTH AFRICA,Spearfishing 
3675,08-Jul-1964,USA,Tagging sharks
3676,Jul-1964,PAPUA NEW GUINEA,Standing / fishing
3677,Jul-1964,PAPUA NEW GUINEA,canoeing
3678,29-Jun-1964,BERMUDA,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery)
3679,28-Jun-1964,USA,Attempting to swim across the Atlantic Ocean
3680,24-Jun-1964,USA,Fishing
3681,17-Jun-1964,PAPUA NEW GUINEA,Fishing
3682,23-Jun-1964,FIJI,Spearfishing
3683,02-Jun-1964,SOUTH AFRICA,Swimming
3684,30-May-1964,PANAMA,Standing
3685,08-May-1964,FIJI,Spearfishing
3686,May 1964,PANAMA,Skin diving
3687,07-Apr-1964,PAPUA NEW GUINEA,Fishing
3688,28-Mar-1964,AUSTRALIA,Surfing
3689,28-Mar-1964,PAPUA NEW GUINEA,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help"
3690,05-Mar-1964,USA,Skin diving 
3691,Mar-1964,SENEGAL,Free diving for shell
3692,Reported 17-Feb-1964,FIJI,Fishing
3693,14-Feb-1964,NEW CALEDONIA,Diving for trochus shell
3694,14-Feb-1964,FIJI,Spearfishing
3695,11-Feb-1964,NEW ZEALAND,preparing to go skin diving
3696,10-Feb-1964,NEW ZEALAND,Spearfishing
3697,08-Feb-1954,SOUTH AFRICA,Body boarding
3698,05-Feb-1964,NEW ZEALAND,Lying in 2 feet of water
3699,05-Feb-1964,NEW ZEALAND,Swimming
3700,02-Feb-1964,AUSTRALIA,Swimming
3701,01-Feb-1964,NEW ZEALAND,Rowing
3702,Feb-1964,USA,Floating
3703,Feb-1964,COSTA RICA,Swimming
3704,27-Jan-1964,FIJI,Spearfishing
3705,23-Jan-1964,SOUTH AFRICA,Body surfing
3706,22-Jan-1964,SOUTH AFRICA,Standing
3707,21-Jan-1964,SOUTH AFRICA,Shark watching
3708,18-Jan-1964,AUSTRALIA,Freediving
3709,11-Jan-1964,USA,Spearfishing / Scuba diving (at surface)
3710,Reported 06-Jan-1964,PAPUA NEW GUINEA,Fishing
3711,04-Jan-1964,FIJI,Swimming
3712,01-Jan-1964,AUSTRALIA,
3713,01-Jan-1964,SOUTH AFRICA,Diving for sinkers
3714,Jan-1964,NEW ZEALAND,Snorkeling
3715,29-Dec-1963,SOUTH AFRICA,Standing
3716,26-Dec-1963,SOUTH AFRICA,Swimming 
3717,26-Dec-1963,AUSTRALIA,Sitting on gunwale of boat
3718,25-Dec-1963,SOUTH AFRICA,Swimming
3719,22-Dec-1963,ATLANTIC OCEAN,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished"
3720,22-Dec-1963,SOUTH AFRICA,Helping friend land hooked shark
3721,21-Dec-1963,AUSTRALIA,Fishing
3722,20-Dec-1963,SOUTH AFRICA,Spearfishing
3723,20-Dec-1963,SOUTH AFRICA,Splashing in surf
3724,08-Dec-1963,AUSTRALIA,Spearfishing
3725,04-Dec-1963,NEW BRITAIN,Spearfishing
3726,30-Nov-1963,NEW ZEALAND,Treading water while alongside capsized yacht
3727,30-Nov-1963,PAPUA NEW GUINEA,Fishing / standing in waist deep water
3728,28-Nov-1963,FIJI,Fishing
3729,25-Nov-1963,FIJI,Spearing fish
3730,Reported 16-Nov-1963,ITALY,Spearfishing
3731,14-Nov-1963,AUSTRALIA,Catching sharks under government contract
3732,12-Nov-1963,USA,Testing anti-shark cage
3733,Reported 05-Nov-1963,PAPUA NEW GUINEA,Wading
3734,04-Nov-1963,PALAU,Fishing
3735,16-Oct-1963,USA,"Surf fishing, wading "
3736,15-Oct-1963,NORTH PACIFIC OCEAN,Fishing for sharks
3737,29-Sep-1963,CHILE,Spearfishing / free diving
3738,26-Sep-1963,USA,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft."
3739,22-Sep-1963,SOLOMON ISLANDS,Spearing fish
3740,13-Sep-1963,AUSTRALIA,Surfing
3741,10-Sep-1963,USA,"Spearfishing, pulled sharkâs tail"
3742,Aug-1963,DOMINICAN REPUBLIC,"Swimming, when caught in heavy seas"
3743,28-Jul-1963,FEDERATED STATES OF MICRONESIA,Spearfishing
3744,15-Jul-1963,USA,Bathing
3745,11-Jul-1963,USA,"Fishing, on charter boat Silver Dollar"
3746,Reported 10-Jul-1963,JAMAICA,63' fishing boat Sno' Bay foundered
3747,Jul-1963,PANAMA,"Seining for bait, standing in chest-deep water"
3748,01-Jun-1963,GREECE,Swimming
3749,01-Jun-1963,PAPUA NEW GUINEA,Fishing
3750,18-May-1963,USA,Swimming
3751,14-May-1963,PHILIPPINES,"Boat, with 42 passengers onboard, capsized in rough seas"
3752,22-Apr-1963,AUSTRALIA,Fishing
3753,20-Apr-1963,USA,Swimming
3754,17-Apr-1963,SOUTH AFRICA,Swimming
3755,13-Apr-1963,AUSTRALIA,"Surfing on ""chest board"" (boogie board?)"
3756,12-Apr-1963,USA,Surfing 
3757,08-Apr-1963,USA,Washed into sea while picking opihi
3758,30-Mar-1963,SOLOMON ISLANDS,The 500-ton coastal trader Polurrian foundered
3759,27-Feb-1963,PAPUA NEW GUINEA,Swimming
3760,24-Feb-1963,AUSTRALIA,Spearfishing
3761,08-Feb-1963,FIJI,Spearfishing
3762,06-Feb-1963,MAURITIUS,
3763,04-Feb-1963,USA,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board"
3764,30-Jan-1963,FIJI,Freediving
3765,28-Jan-1963,AUSTRALIA,Wading
3766,26-Jan-1963,AUSTRALIA,Swimming
3767,22-Jan-1963,SOUTH AFRICA,Fishing 
3768,14-Jan-1963,NEW ZEALAND,Fishing
3769,12-Jan-1963,SOUTH AFRICA,Fishing
3770,11-Jan-1963,SOUTH AFRICA,"Free diving, hunting crayfish"
3771,06-Jan-1963,SOUTH AFRICA,Spearfishing
3772,04-Jan-1963,AUSTRALIA,Shark fishing
3773,Jan-1963,MOZAMBIQUE,
3774,Early 1963,FIJI,
3775,1963,SEYCHELLES,Fishing for turtles
3776,30-Dec-1962,SOUTH AFRICA,Scuba diving
3777,09-Dec-1962,AUSTRALIA,Spearfishing
3778,Dec-1962,SOUTH AFRICA,Fishing
3779,29-Nov-1962,AUSTRALIA,"Spearfishing, Scuba diving"
3780,25-Nov-1962,AUSTRALIA,
3781,11-Nov-1962,USA,Spearfishing / Scuba diving (at surface)
3782,10-Nov-1962,AUSTRALIA,Fishing
3783,Nov-1962,MID ATLANTIC OCEAN,Abandoning burning ship Captain George in raging seas
3784,28-Oct-1962,SOUTH AFRICA,Spearfishing
3785,25-Oct-1962,MEXICO,Wading
3786,15-Oct-1962,ADMIRALTY ISLANDS,
3787,14-Oct-1962,AUSTRALIA,Adrift after wave swamped engine
3788,06-Oct-1962,USA,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm"
3789,Oct-1962,PANAMA,Sitting in shallows
3790,30-Sep-1962,BRITISH WEST INDIES,Spearfishing
3791,22-Sep-1962,MEXICO,Swimming
3792,13-Sep-1962,SOUTH ATLANTIC OCEAN,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line."
3793,02-Sep-1962,ITALY,Spearfishing with Scuba gear
3794,Reported 31-Aug-1962,ISRAEL,Fishing
3795,30-Aug-1962,TURKEY,
3796,30-Aug-1962,PAPUA NEW GUINEA,Fishing
3797,29-Aug-1962,USA,Diving for abalone
3798,26-Aug-1962,USA,
3799,23-Aug-1962,SOUTH AFRICA,Fishing
3800,19-Aug-1962,USA,Surf fishing in waist-deep water
3801,12-Aug-1962,USA,Standing
3802,01-Aug-1962,PAPUA NEW GUINEA,Spearfishing
3803,Late Aug-1962,ITALY,Diving
3804,Aug-1962,SENEGAL,Beach seine netting
3805,28-Jul-1962,USA,Standing
3806,20-Jul-1962,MADAGASCAR,Finning the shark
3807,19-Jul-1962,USA,Fishing for albacore
3808,10-Jul-1962,USA,Playing in surf with his child  (9)
3809,07-Jul-1962,USA,Dived from inner-tube
3810,Reported 03-Jul-1962,GREECE,
3811,25-Jun-1962,USA,U.S. Airforce crewman reported missing after bailing out of jet
3812,21-Jun-1962,SOUTH AFRICA,"On a ""shark hunt"""
3813,17-Jun-1962,USA,Rolled off raft
3814,11-Jun-1962,USA,Escaping from Alacatraz
3815,11-Jun-1962,USA,Escaping from Alacatraz
3816,11-Jun-1962,USA,Escaping from Alacatraz
3817,10-Jun-1962,PAPUA NEW GUINEA,Washing
3818,10-Jun-1962,USA,Standing
3819,07-Jun-1962,AUSTRALIA,Fishing
3820,04-Jun-1962,USA,"Scuba diving, attempting to catch a captive shark"
3821,03-Jun-1962,USA,Free diving
3822,29-May-1962,USA,
3823,12-May-1962,USA,25-foot cabin cruiser Happy Jack sank in heavy seas
3824,May 1962,FIJI,Fishing
3825,20-Apr-1962,AUSTRALIA,Fishing
3826,09-Apr-1962,MOZAMBIQUE,Swimming
3827,07-Apr-1962,SOUTH AFRICA,Wading
3828,05-Apr-1962,SOUTH AFRICA,Fishing
3829,25-Mar-1962,NEW ZEALAND,
3830,25-Mar-1962,AUSTRALIA,Fishing & spearfishing
3831,24-Mar-1962,PAPUA NEW GUINEA,Swimming
3832,23-Feb-1962,PAPUA NEW GUINEA,Swimming along a row of nets
3833,18-Feb-1962,NEW ZEALAND,Swimming
3834,15-Feb-1962,AUSTRALIA,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it
3835,07-Feb-1962,SOUTH AFRICA,Swimming
3836,05-Feb-1962,SOUTH AFRICA,Treading water
3837,04-Feb-1962,AUSTRALIA,Swimming
3838,02-Feb-1962,NEW ZEALAND,Fishing
3839,Feb-1962,SOLOMON ISLANDS,Swimming outside fishing net
3840,27-Jan-1962,NEW ZEALAND,Splashing 
3841,26-Jan-1962,MOZAMBIQUE,
3842,21-Jan-1962,AUSTRALIA,Spearfishing
3843,18-Jan-1962,SOUTH AFRICA,"Fishing, slipped on rocks & fell into sea"
3844,16-Jan-1962,NEW ZEALAND,Fishing
3845,15-Jan-1962,NEW ZEALAND,Spearfishing
3846,14-Jan-1962,USA,Spearfishing / Scuba diving (at surface)
3847,14-Jan-1962,AUSTRALIA,Spearfishing
3848,14-Jan-1962,AUSTRALIA,Surfing
3849,11-Jan-1962,AUSTRALIA,Fishing
3850,11-Jan-1962,PAPUA NEW GUINEA,Spearfishing
3851,11-Jan-1962,NEW ZEALAND,Surf fishing
3852,10-Jan-1962,AUSTRALIA,Fishing for sharks
3853,08-Jan-1962,AUSTRALIA,Swimming
3854,07-Jan-1962,AUSTRALIA,Rowing
3855,07-Jan-1962,AUSTRALIA,Surfing
3856,06-Jan-1962,SOUTH AFRICA,Fishing
3857,02-Jan-1962,AUSTRALIA,Fishing
3858,01-Jan-1962,MARSHALL ISLANDS,Fishing with hand net in 2' of water
3859,1962,SPAIN,Dangling feet in the water
3860,Jan-Jun-1962,INDONESIA,
3861,Ca. 1962,AUSTRALIA,Diving
3862,28-Dec-1961,AUSTRALIA,Standing
3863,28-Dec-1961,AUSTRALIA,Standing
3864,28-Dec-1961,SOUTH AFRICA,Treading water
3865,27-Dec-1961,AUSTRALIA,Spearfishing
3866,19-Dec-1961,AUSTRALIA,"Fishing, hauling in a 5-lb snapper"
3867,18-Dec-1961,MOZAMBIQUE,Bathing
3868,18-Dec-1961,AUSTRALIA,"Surfing, pushing board ashore"
3869,13-Dec-1961,AUSTRALIA,Swimming with other crew near wharf
3870,14-Nov-1961,MEXICO,
3871,17-Oct-1961,PHILIPPINES,Gathering shells
3872,09-Oct-1961,USA,Swimming
3873,Oct-1961,VANUATU,Paddling outrigger canoe
3874,Oct-1961,USA,
3875,26-Sep-1961,USA,
3876,24-Sep-1961,CROATIA,Swimming
3877,24-Sep-1961,TANZANIA,Fishing
3878,23-Sep-1961,MID ATLANTIC OCEAN,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea "
3879,07-Sep-1961,PERSIAN GULF,"Free diving, surveying a pipeline & examing cathodes under jetty"
3880,Reported 06-Sep-1961,ITALY,Fishing
3881,06-Sep-1961,AUSTRALIA,Attaching a line at sea
3882,20-Aug-1961,USA,Swimming
3883,16-Aug-1961,USA,Wading
3884,04-Aug-1961,BERMUDA,Spearfishing
3885,02-Aug-1961,USA,"Net fishing, picking catch from the net"
3886,01-Aug-1961,PAPUA NEW GUINEA,"Fishing, two large sharks passed. He speared one and it bit him"
3887,29-Jul-1961,USA,Spearfishing
3888,16-Jul-1961,TURKEY,Swimming
3889,07-Jul-1961,AUSTRALIA,Shark fishing
3890,Jul-1961,ITALY,Spearfishing
3891,Jul-1961,PANAMA,Fishing (trolling)  from canoe
3892,24-Jun-1961,USA,Scuba diving & spearfishing 
3893,18-Jun-1961,USA,Standing
3894,Reported 06-Jun-1961,USA,Spearfishing on Scuba
3895,02-Jun-1961,NEW BRITAIN,Spearfishing
3896,01-Jun-1961,PAPUA NEW GUINEA,"Fishing, speared shark upset canoe & man fell in water"
3897,21-May-1961,USA,Free diving for abalone
3898,17-May-1961,NEW BRITAIN,Collecting dynamited fish
3899,15-May-1961,USA,Walking in chest-deep water
3900,07-May-1961,AUSTRALIA,Spearfishing
3901,30-Apr-1961,USA,Splashing 
3902,25-Apr-1961,AUSTRALIA,Spearfishing
3903,21-Apr-1961,MOZAMBIQUE,Swimming
3904,17-Apr-1961,SOUTH AFRICA,Diving
3905,16-Apr-1961,USA,Spearfishing
3906,16-Apr-1961,AUSTRALIA,Spearfishing
3907,14-Apr-1961,AUSTRALIA,"Checking fish traps, fell into the water"
3908,09-Apr-1961,MOZAMBIQUE,"Swimming, using bundles of sticks as raft"
3909,08-Apr-1961,PERSIAN GULF,Cargo ship Dara sank after collision with another ship during a severe storm
3910,03-Apr-1961,AUSTRALIA,Spearfishing
3911,Apr-1961,AUSTRALIA,Spearfishing
3912,30-Mar-1961,AUSTRALIA,Spearfishing
3913,18-Mar-1961,AUSTRALIA,Swimming
3914,14-Mar-1961,AUSTRALIA,Fishing from dinghy
3915,12-Mar-1961,AUSTRALIA,Spearfishing
3916,09-Mar-1961,NORTH PACIFIC OCEAN,Free diving
3917,07-Mar-1961,SOUTH AFRICA,Fishing
3918,Mar-1961,FIJI,Floating on back
3919,17-Feb-1961,USA,Cleaning a tank
3920,17-Feb-1961,AUSTRALIA,Standing
3921,16-Feb-1961,JAMAICA,
3922,12-Feb-1961,SOUTH AFRICA,"Spearfishing, shark grabbed his white t-shirt and towed him "
3923,01-Feb-1961,SOUTH AFRICA,Swimming
3924,01-Feb-1961,AUSTRALIA,Collecting crayfish
3925,Feb-1961,USA,
3926,25-Jan-1961,SOUTH AFRICA,Fishing for kob
3927,22-Jan-1961,SOUTH AFRICA,Swimming
3928,15-Jan-1961,AUSTRALIA,Collecting aquarium specimens
3929,06-Jan-1961,SOUTH AFRICA,Standing
3930,06-Jan-1961,ATLANTIC OCEAN,Pacific Seafarer of US Navy
3931,06-Jan-1961,AUSTRALIA,Fishing
3932,05-Jan-1961,MOZAMBIQUE,Swimming
3933,03-Jan-1961,SOUTH AFRICA,Standing
3934,03-Jan-1961,SOUTH AFRICA,
3935,Reported 02-Jan-1961,AUSTRALIA,Ocean racing
3936,1961,AUSTRALIA,Fishing for mackerel
3937,01-Jan-1961,COLUMBIA,Taking boat from California to Florida when it ran aground & he was swimming back to boat
3938,1961,NEW CALEDONIA,Spearfishing
3939,1961,SENEGAL,Free diving for molluscs
3940,1961,USA,Light aircraft ditched at sea
3941,27-Dec-1960,USA,Swept out to sea while net fishing
3942,27-Dec-1960,AUSTRALIA,
3943,24-Dec-1960,SOUTH AFRICA,Swimming
3944,20-Dec-1960,AUSTRALIA,"Fishing, when line became snagged on rock & he dived into water to free it "
3945,01-Dec-1960,AUSTRALIA,Fishing
3946,27-Nov-1960,AUSTRALIA,Swimming
3947,22-Nov-1960,USA,"Fell overboard, prop slashed arm"
3948,11-Nov-1960,AUSTRALIA,Chasing shark out of bathing area while riding on a surf-ski
3949,06-Nov-1960,AUSTRALIA,"Spearfishing, speared fish retreated to cave where shark grabbed his arm"
3950,Nov-1960,SOUTH AFRICA,Hand lining for shad
3951,Nov-1960,NEW GUINEA,
3952,Nov-1960,PAPUA NEW GUINEA,Fishing
3953,25-Oct-1960,USA,Ejected from F3H-2 aircraft
3954,24-Oct-1960,SOUTH AFRICA,Fishing for rock lobsters
3955,01-Oct-1960,AUSTRALIA,Fishing
3956,Oct-1960,PAPUA NEW GUINEA,Collecting shells
3957,Oct-1960,RED SEA / INDIAN OCEAN,Cargo ship El Gamil entroute Suez to Yemen (Aden) when her cargo shifted and she sank. 19 Egyption sailors jumped into the water and swam for several hours before being bitten by sharks
3958,Oct-1960,USA,Diving
3959,Oct-1960,SOUTH AFRICA,Fishing
3960,Oct-1960,JOHNSTON ISLAND,"Free diving / photography, kneeling on sand"
3961,24-Sep-1960,USA,Fishing inside net
3962,22-Sep-1960,PACIFIC OCEAN,R5D aircraft went down with 29 on board
3963,18-Sep-1960,AUSTRALIA,
3964,02-Sep-1960,MARSHALL ISLANDS,Free diving / Spearfishing
3965,01-Sep-1960,MARSHALL ISLANDS,Free diving / Spearfishing
3966,30-Aug-1960,USA,Swimming 3 miles offshore
3967,29-Aug-1960,SENEGAL,Air disaster: crash of Air France Super Constellation 
3968,25-Aug-1960,USA,Aircraft crashed into sea
3969,24-Aug-1960,USA,Free diving
3970,Reported 22-Aug-1960,PAPUA NEW GUINEA,Free-diving
3971,22-Aug-1960,USA,
3972,21-Aug-1960,USA,Standing in knee-deep water
3973,14-Aug-1960,MOZAMBIQUE,boat with 46 people on board capsized
3974,10-Aug-1960,USA,Holding shark on leader & dangling it above the water
3975,04-Aug-1960,ENGLAND,Helping angler land a shark
3976,04-Aug-1960,USA,"Fishing, Struck by another shark when removing shark from line"
3977,Aug-1960,USA,Swimming from camp
3978,27-Jul-1960,PAPUA NEW GUINEA,Spearfishing
3979,05-Jul-1960,USA,Pulling raft out to ride to shore
3980,03-Jul-1960,USA,"Fishing, tossing netted shark onboard"
3981,02-Jul-1960,PAPUA NEW GUINEA,Fishing
3982,29-Jun-1960,USA,Surf fishing
3983,27-Jun-1960,NEW ZEALAND,Shark fishing
3984,27-Jun-1960,NORTH SEA,Fishing
